raw_name,market_guess,theme_guess,note
지씨셀,KR,Biotech,user_supplied_watchlist
율촌,KR_CANDIDATE,Watchlist,user_supplied_watchlist
NHN,KR,Cloud/AI,user_supplied_watchlist
종근당,KR,Pharma,user_supplied_watchlist
데브시스터즈,KR,Game,user_supplied_watchlist
해성디에스,KR,Semiconductor,user_supplied_watchlist
웹스,KR,Materials,user_supplied_watchlist
에이비온,KR,Biotech,user_supplied_watchlist
HL만도,KR,Mobility,user_supplied_watchlist
삼성바이오로직스,KR,Biotech,user_supplied_watchlist
다산디엠씨,KR_CANDIDATE,Watchlist,user_supplied_watchlist
디알텍,KR,Medical AI,user_supplied_watchlist
이노인스트루먼트,KR,Equipment,user_supplied_watchlist
티엠씨,KR_CANDIDATE,Watchlist,user_supplied_watchlist
원익피앤이,KR,Battery,user_supplied_watchlist
쎄노텍,KR,Materials,user_supplied_watchlist
엔투텍,KR,Semiconductor,user_supplied_watchlist
LS에코에너지,KR,Power Grid,user_supplied_watchlist
엔비티,KR,AdTech,user_supplied_watchlist
원익IPS,KR,Semiconductor,user_supplied_watchlist
에코프로비엠,KR,Battery,user_supplied_watchlist
한화시스템,KR,Defense AI,user_supplied_watchlist
와이즈버즈,KR,AI/AdTech,user_supplied_watchlist
켄코아에어로스페이스,KR,Aerospace/Defense,user_supplied_watchlist
레인보우로보틱스,KR,Robotics,user_supplied_watchlist
롯데이노베이트,KR,Cloud/AI,user_supplied_watchlist
인투셀,KR_CANDIDATE,Watchlist,user_supplied_watchlist
아이스크림에듀,KR,EdTech,user_supplied_watchlist
핀텔,KR,AI Software,user_supplied_watchlist
효성중공업,KR,Power Grid,user_supplied_watchlist
라온피플,KR,AI Software,user_supplied_watchlist
바이브컴퍼니,KR,AI Software,user_supplied_watchlist
솔트룩스,KR,AI Software,user_supplied_watchlist
네온테크,KR,Drone,user_supplied_watchlist
현대오토에버,KR,Mobility/AI,user_supplied_watchlist
셀비온,KR_CANDIDATE,Watchlist,user_supplied_watchlist
딥노이드,KR,Medical AI,user_supplied_watchlist
라닉스,KR,Autonomous,user_supplied_watchlist
덕산테코피아,KR,Battery,user_supplied_watchlist
현대에너지솔루션,KR,Renewable Energy,user_supplied_watchlist
오로스테크놀로지,KR,Semiconductor,user_supplied_watchlist
루닛,KR,Medical AI,user_supplied_watchlist
누보,KR,Agri/Food,user_supplied_watchlist
두산퓨얼셀,KR,Hydrogen,user_supplied_watchlist
뷰노,KR,Medical AI,user_supplied_watchlist
세림B&G,KR,Eco Materials,user_supplied_watchlist
스피어,KR_CANDIDATE,Watchlist,user_supplied_watchlist
뉴로메카,KR,Robotics,user_supplied_watchlist
지아이이노베이션,KR,Biotech,user_supplied_watchlist
탑머티리얼,KR,Battery,user_supplied_watchlist
제노코,KR,Space/Defense,user_supplied_watchlist
SK아이이테크놀로지,KR,Battery,user_supplied_watchlist
드림인사이트,KR_CANDIDATE,Watchlist,user_supplied_watchlist
하이딥,KR,Semiconductor,user_supplied_watchlist
윤성에프앤씨,KR,Battery,user_supplied_watchlist
LG에너지솔루션,KR,Battery,user_supplied_watchlist
DL이앤씨,KR,Infrastructure,user_supplied_watchlist
마인즈랩,KR,AI Software,user_supplied_watchlist
뉴로핏,KR_CANDIDATE,Watchlist,user_supplied_watchlist
범한퓨얼셀,KR,Hydrogen,user_supplied_watchlist
유일로보틱스,KR,Robotics,user_supplied_watchlist
대명에너지,KR,Renewable Energy,user_supplied_watchlist
에스비비테크,KR,Robotics,user_supplied_watchlist
더블유씨피,KR,Battery,user_supplied_watchlist
리센스메디컬,KR_CANDIDATE,Watchlist,user_supplied_watchlist
넥스트칩,KR,Autonomous,user_supplied_watchlist
LS머트리얼즈,KR,Battery,user_supplied_watchlist
